"key","song_name","artist_full_name","songbook","reference_id"
"0","18 & Life","Skid Row","MT","MTS1208-459"
"1","5:15","Who, The","MT","MTS1208-803"
"2","6, 8, 12","McKnight, Brian","MT","MTS1208-694"
"3","Achy Breaky Heart","Cyrus, Billy Ray","MT","MTS1208-1069"
"4","Achy Breaky Song","Yankovic, 'Weird Al'","MT","MTS1208-344"
"5","Across The Universe","Apple, Fiona","MT","MTS1208-101"
"6","Addicted To Love","Palmer, Robert","MT","MTS1208-1145"
"7","Addicted To Spuds (Addicted","Yankovic, 'Weird Al'","MT","MTS1208-338"
"8","Adia","McLachlan, Sarah","MT","MTS1208-102"
"9","After All","Jarreau, Al","MT","MTS1208-777"
"10","After You've Gone","Sinatra, Frank","MT","MTS1208-939"
"11","Again","Kravitz, Lenny","MT","MTS1208-820"
"12","Against All Odds","Carey, Mariah","MT","MTS1208-691"
"13","Against The Grain","Brooks, Garth","MT","MTS1208-354"
"14","Ahab The Arab","Stevens, Ray","MT","MTS1208-625"
"15","Ain't Goin' Down 'til The Sun","Brooks, Garth","MT","MTS1208-360"
"16","Ain't Got Nothin' But The","Ford, Robin","MT","MTS1208-399"
"17","Ain't No Way To Treat A Lady","Reddy, Helen","MT","MTS1208-785"
"18","Alabama Song","Doors, The","MT","MTS1208-513"
"19","Alimony (Mony Mony)","Yankovic, 'Weird Al'","MT","MTS1208-337"
"20","Alison (My Aim Is True)","Costello, Elvis","MT","MTS1208-382"
"21","All Along The Watchtower","Hendrix, Jimi","MT","MTS1208-414"
"22","All Day And All Of The Night","Kinks, The","MT","MTS1208-676"
"23","All Fired Up","Benatar, Pat","MT","MTS1208-589"
"24","All I Ever Need (Is You)","Cher","MT","MTS1208-143"
"25","All I Have To Do Is Dream","Everly Brothers, The","MT","MTS1208-1123"
"26","All I Want Is Everything","McCready, Mindy","MT","MTS1208-429"
"27","All My Ex's Live In Texas","Strait, George","MT","MTS1208-1070"
"28","All Of Me","Sinatra, Frank","MT","MTS1208-488"
"29","All Or Nothing","Cher","MT","MTS1208-439"
"30","All Or Nothing At All","Sinatra, Frank","MT","MTS1208-945"
"31","All Right Now","Free","MT","MTS1208-668"
"32","All Shook Up","Presley, Elvis","MT","MTS1208-1108"
"33","All Star","Smash Mouth","MT","MTS1208-455"
"34","All The Small Things","Blink 182","MT","MTS1208-578"
"35","24 Hours At A Time","Marshall Tucker Band, The","MT","MTS1208-232"
"36","96 Tears","Question Mark & The Mysterians","MT","MTS1208-853"
"37","After The Lovin'","Humperdinck, Engelbert","MT","MTS1208-1090"
"38","Ain't That A Bitch","Watson, Johnny 'Guitar'","MT","MTS1208-1025"
"39","Ain't Wastin' Time No More","Allman Brothers Band, The","MT","MTS1208-233"
"40","All The Way","Sinatra, Frank","MT","MTS1208-501"
"41","Almost Like Being In Love","Sinatra, Frank","MT","MTS1208-502"
"42","Alone Again (Naturally)","O'Sullivan, Gilbert","MT","MTS1208-783"
"43","Along Came Jones","Stevens, Ray","MT","MTS1208-629"
"44","Amazed","Lonestar","MT","MTS1208-240"
"45","Amazing","Aerosmith","MT","MTS1208-731"
"46","American Honky Tonk Bar","Brooks, Garth","MT","MTS1208-361"
"47","American Pie","Madonna","MT","MTS1208-570"
"48","American Woman","Guess Who, The","MT","MTS1208-600"
"49","Amie","Pure Prairie League","MT","MTS1208-316"
"50","Amish Paradise (Gangsta's","Yankovic, 'Weird Al'","MT","MTS1208-339"
"51","And When I Die","Blood, Sweat & Tears","MT","MTS1208-1155"
"52","Angel","Aerosmith","MT","MTS1208-68"
"53","Angel","McLachlan, Sarah","MT","MTS1208-147"
"54","Angel","Richie, Lionel","MT","MTS1208-832"
"55","Angel","Shaggy","MT","MTS1208-827"
"56","Angel Eyes","Standard","MT","MTS1208-07"
"57","Angels Would Fall","Etheridge, Melissa","MT","MTS1208-447"
"58","Animal","Def Leppard","MT","MTS1208-938"
"59","Animal Song, The","Savage Garden","MT","MTS1208-159"
"60","Annie's Song","Denver, John","MT","MTS1208-892"
"61","Anniversary Song, The","Standard","MT","MTS1208-43"
"62","Another Brick In The Wall","Pink Floyd","MT","MTS1208-981"
"63","Another One Bites The Dust","Queen","MT","MTS1208-1151"
"64","Another One Rides The Bus","Yankovic, 'Weird Al'","MT","MTS1208-334"
"65","Another Somebody Done","Thomas, B. J.","MT","MTS1208-619"
"66","Anticipation","Simon, Carly","MT","MTS1208-483"
"67","Any Man Of Mine","Twain, Shania","MT","MTS1208-280"
"68","Any Way You Want It","Journey","MT","MTS1208-740"
"69","Anything For Your Love","Clapton, Eric","MT","MTS1208-287"
"70","Anything You Can Do","Annie Get Your Gun","MT","MTS1208-764"
"71","Are You Lonesome Tonight?","Presley, Elvis","MT","MTS1208-1159"
"72","At Seventeen","Ian, Janis","MT","MTS1208-307"
"73","At This Moment","Vera, Billy","MT","MTS1208-1086"
"74","Auld Lang Syne","Traditional","MT","MTS1208-30"
"75","Autumn Leaves","Standard","MT","MTS1208-17"
"76","Babe","Styx","MT","MTS1208-392"
"77","Baby Don't Get Hooked On Me","Davis, Mac","MT","MTS1208-891"
"78","Baby Don't Go","Cher","MT","MTS1208-135"
"79","Alley Oop","Hollywood Argyles, MT The","MTS1208-864",""
"80","Almost Home","Carpenter, Mary MT Chapin","MTS1208-245",""
"81","Any Dream Will Do","Joseph & The MT Amazing Technicolor Dreamco","MTS1208-768",""
"82","Baby I'm A Want You","Bread","MT","MTS1208-890"
"83","Baby One More Time","Spears, Britney","MT","MTS1208-151"
"84","Back Door Man","Doors, The","MT","MTS1208-982"
"85","Back In Black","AC/DC","MT","MTS1208-198"
"86","Back In The U.S.S.R.","Beatles, The","MT","MTS1208-1156"
"87","Bad","Jackson, Michael","MT","MTS1208-1143"
"88","Bad Company","Bad Company","MT","MTS1208-365"
"89","Bad Girls","Summer, Donna","MT","MTS1208-527"
"90","Bad Man","Kelly, R.","MT","MTS1208-708"
"91","Bad Medicine","Bon Jovi","MT","MTS1208-804"
"92","Bad To The Bone","Thorogood, George","MT","MTS1208-953"
"93","Bad Touch, The","Bloodhound Gang, The","MT","MTS1208-634"
"94","Badge","Clapton, Eric","MT","MTS1208-295"
"95","Ballad Of Chasey Lain, The","Bloodhound Gang, The","MT","MTS1208-705"
"96","Ballad Of Curtis Loew, The","Lynyrd Skynyrd","MT","MTS1208-660"
"97","Ballad Of Dwight Fry","Cooper, Alice","MT","MTS1208-128"
"98","Bang Bang","Cher","MT","MTS1208-136"
"99","Bang The Drum All Day","Rundgren, Todd","MT","MTS1208-933"
"100","Barracuda","Heart","MT","MTS1208-798"
"101","Basket Case","Green Day","MT","MTS1208-420"
"102","Bawitdaba","Kid Rock","MT","MTS1208-728"
"103","Be Careful (Cuidado Con Mi","Martin, Ricky","MT","MTS1208-175"
"104","Be My Lover","Cooper, Alice","MT","MTS1208-125"
"105","Be With You","Iglesias, Enrique","MT","MTS1208-572"
"106","Beat Goes On, The","Cher","MT","MTS1208-137"
"107","Beat It","Jackson, Michael","MT","MTS1208-1154"
"108","Beautiful Loser","Seger, Bob","MT","MTS1208-381"
"109","Because I Got High","Afroman","MT","MTS1208-994"
"110","Been Down So Long","Doors, The","MT","MTS1208-50"
"111","Beer Drinkers & Hell Raisers","ZZ Top","MT","MTS1208-228"
"112","Before The Next Teardrop Falls","Fender, Freddie","MT","MTS1208-630"
"113","Beginnings","Chicago","MT","MTS1208-326"
"114","Behind Blue Eyes","Who, The","MT","MTS1208-801"
"115","Believe","Cher","MT","MTS1208-104"
"116","Believe Me Baby (I Lied)","Yearwood, Trisha","MT","MTS1208-546"
"117","Bella (She's All I Ever Had)","Martin, Ricky","MT","MTS1208-176"
"118","Bend Me Shape Me","American Breed","MT","MTS1208-669"
"119","Bent","Matchbox Twenty","MT","MTS1208-642"
"120","Best Of Me","Adams, Bryan","MT","MTS1208-582"
"121","Bette Davis Eyes","Carnes, Kim","MT","MTS1208-475"
"122","Big 10 Inch Record","Aerosmith","MT","MTS1208-983"
"123","Big Bad John","Dean, Jimmy","MT","MTS1208-620"
"124","Big Black Man","Full Monty","MT","MTS1208-1019"
"125","Bad Moon Rising","Creedence Clearwater Revival","MT","MTS1208-984"
"126","Beer Run","Brooks, Garth & George Jones","MT","MTS1208-1016"
"127","Big Black Man","Full Monty w/Vocal","MT","MTS1208-1020"
"128","Big Deal","Rimes, LeAnn","MT","MTS1208-427"
"129","Billion Dollar Babies","Cooper, Alice","MT","MTS1208-122"
"130","Bills, Bills, Bills","Destiny's Child","MT","MTS1208-252"
"131","Bitch","Brooks, Meredith","MT","MTS1208-103"
"132","Black Dog","Led Zeppelin","MT","MTS1208-460"
"133","Black Magic Woman","Santana","MT","MTS1208-965"
"134","Black Water","Doobie Brothers, The","MT","MTS1208-1047"
"135","Blame It On My Youth","Standard","MT","MTS1208-21"
"136","Blaze Of Glory","Bon Jovi","MT","MTS1208-975"
"137","Blue","Rimes, LeAnn","MT","MTS1208-220"
"138","Blue","Rimes, LeAnn","MT","MTS1208-536"
"139","Blue (Da Ba Dee)","Eiffel 65","MT","MTS1208-644"
"140","Blue Bayou","Ronstadt, Linda","MT","MTS1208-1205"
"141","Blue Christmas","Presley, Elvis","MT","MTS1208-612"
"142","Blue Eyes Blue","Clapton, Eric","MT","MTS1208-453"
"143","Blue Hawaii","Presley, Elvis","MT","MTS1208-611"
"144","Blue Jean Blues","ZZ Top","MT","MTS1208-230"
"145","Blue Monday","Domino, Fats","MT","MTS1208-789"
"146","Blue Moon","Torme, Mel","MT","MTS1208-557"
"147","Blue Suede Shoes","Presley, Elvis","MT","MTS1208-601"
"148","Blue Velvet","Vinton, Bobby","MT","MTS1208-555"
"149","Blues Power","Clapton, Eric","MT","MTS1208-986"
"150","Body & Soul","Standard","MT","MTS1208-16"
"151","Book Of Love","Monotones, The","MT","MTS1208-866"
"152","Borderline","Madonna","MT","MTS1208-901"
"153","Born In The USA","Springsteen, Bruce","MT","MTS1208-952"
"154","Born To Be Wild","Steppenwolf","MT","MTS1208-1032"
"155","Born Under A Bad Sign","Cream","MT","MTS1208-937"
"156","Bossa Nova Baby","Presley, Elvis","MT","MTS1208-602"
"157","Boy Is Mine, The","Brandy & Monica","MT","MTS1208-84"
"158","Boy Named Sue, A","Cash, Johnny","MT","MTS1208-617"
"159","Boys Are Back In Town, The","Bus Boys, The","MT","MTS1208-59"
"160","Boys In The Hood","Dynamite Hack","MT","MTS1208-697"
"161","Brandy","Looking Glass","MT","MTS1208-1158"
"162","Break On Through","Doors, The","MT","MTS1208-954"
"163","Breaking Up Is Hard To Do","Sedaka, Neil","MT","MTS1208-325"
"164","Breathe","Hill, Faith","MT","MTS1208-645"
"165","Brick House","Commodores, The","MT","MTS1208-521"
"166","Broadway","Goo Goo Dolls","MT","MTS1208-638"
"167","Brown Eyed Girl","Morrison, Van","MT","MTS1208-1035"
"168","Bubblegoose","Jean, Wyclef","MT","MTS1208-169"
"169","Bug A Boo","Destiny's Child","MT","MTS1208-441"
"170","Build Me Up Buttercup","Foundations, The","MT","MTS1208-849"
"171","Blue Jean Blues","Jeff Healey Band, The","MT","MTS1208-404"
"172","Born On The Bayou","Creedence Clearwater Revival","MT","MTS1208-977"
"173","Building A Mystery","McLachlan, Sarah","MT","MTS1208-470"
"174","Burning Down The House","Talking Heads, The","MT","MTS1208-833"
"175","Burning Love","Presley, Elvis","MT","MTS1208-614"
"176","Bus Stop","Hollies, The","MT","MTS1208-671"
"177","Butterfly","Crazy Town","MT","MTS1208-828"
"178","By The Time I Get To Phoenix","Campbell, Glen","MT","MTS1208-1173"
"179","Bye Bye Bye","N Sync","MT","MTS1208-579"
"180","Bye Bye Love","Everly Brothers, The","MT","MTS1208-1121"
"181","Cabaret","Cabaret","MT","MTS1208-762"
"182","California Girls","Beach Boys, The","MT","MTS1208-1119"
"183","Call Me","Blondie","MT","MTS1208-585"
"184","Call Me Irresponsible","Sinatra, Frank","MT","MTS1208-563"
"185","Call Me The Breeze","Lynyrd Skynyrd","MT","MTS1208-651"
"186","Call My Job","King, Albert","MT","MTS1208-405"
"187","Can't Help Falling In Love","Presley, Elvis","MT","MTS1208-1125"
"188","Can't Take My Eyes Off Of You","Hill, Lauryn","MT","MTS1208-71"
"189","Candle In The Wind","John, Elton","MT","MTS1208-1041"
"190","Candy Man","Davis Jr, Sammy","MT","MTS1208-562"
"191","Careless Whisper","Wham","MT","MTS1208-1055"
"192","Carolina In My Mind","Taylor, James","MT","MTS1208-784"
"193","Carry On My Wayward Son","Kansas","MT","MTS1208-978"
"194","Case Of The Ex","Mya","MT","MTS1208-725"
"195","Casey Jones","Grateful Dead, The","MT","MTS1208-966"
"196","Cat's In The Cradle","Chapin, Harry","MT","MTS1208-1148"
"197","Celebration","Kool & The Gang","MT","MTS1208-1186"
"198","Chances Are","Mathis, Johnny","MT","MTS1208-1099"
"199","Change The World","Clapton, Eric","MT","MTS1208-293"
"200","Changes","Bowie, David","MT","MTS1208-672"
"201","Changes In Latitude, Changes","Buffett, Jimmy","MT","MTS1208-1149"
"202","Chantilly Lace","Big Bopper, The","MT","MTS1208-869"
"203","Chicago","Sinatra, Frank","MT","MTS1208-503"
"204","Child Is Born, A","Standard","MT","MTS1208-24"
"205","China Grove","Doobie Brothers, The","MT","MTS1208-805"
"206","Chocolate Salty Balls","Chef (South Park)","MT","MTS1208-166"
"207","Chug A Lug","Miller, Roger","MT","MTS1208-621"
"208","Closer","Nine Inch Nails","MT","MTS1208-174"
"209","Cocaine","Clapton, Eric","MT","MTS1208-955"
"210","Cold Day In Hell","Moore, Gary","MT","MTS1208-457"
"211","Cold Gin","Kiss","MT","MTS1208-366"
"212","Cold Shot","Vaughan, Stevie Ray","MT","MTS1208-227"
"213","Color My World","Chicago","MT","MTS1208-1063"
"214","California Dreamin'","Mamas & The Papas, The","MT","MTS1208-1204"
"215","Californication","Red Hot Chili Peppers","MT","MTS1208-699"
"216","Can't You See","Marshall Tucker Band, The","MT","MTS1208-223"
"217","Come Fly With Me","Sinatra, Frank","MT","MTS1208-487"
"218","Come Go With Me","Expose","MT","MTS1208-673"
"219","Come On Over","Twain, Shania","MT","MTS1208-279"
"220","Come On Over (All I Want Is","Aguilera, Christina","MT","MTS1208-707"
"221","Come Sail Away","Cartman, Eric","MT","MTS1208-161"
"222","Come To Poppa","Seger, Bob","MT","MTS1208-413"
"223","Conquistador","Procol Harum","MT","MTS1208-979"
"224","Consider Yourself","Oliver","MT","MTS1208-761"
"225","Copacabana","Manilow, Barry","MT","MTS1208-531"
"226","Corner Of The Sky","Pippin","MT","MTS1208-774"
"227","Count Your Blessings","Crosby, Bing","MT","MTS1208-564"
"228","Country Road","Denver, John","MT","MTS1208-1174"
"229","Cowboy","Kid Rock","MT","MTS1208-1015"
"230","Cowboy Take Me Away","Dixie Chicks","MT","MTS1208-426"
"231","Cracklin' Rosie","Diamond, Neil","MT","MTS1208-889"
"232","Crash And Burn","Savage Garden","MT","MTS1208-573"
"233","Crawlin'","Linkin Park","MT","MTS1208-998"
"234","Crazy","Cline, Patsy","MT","MTS1208-1068"
"235","Crazy (You Drive Me)","Spears, Britney","MT","MTS1208-442"
"236","Crazy For You","Madonna","MT","MTS1208-1133"
"237","Crazy He Calls Me","Fitzgerald, Ella","MT","MTS1208-560"
"238","Crazy Little Thing Called Love","Queen","MT","MTS1208-1144"
"239","Crazy On You","Heart","MT","MTS1208-461"
"240","Crazy Train","Osbourne, Ozzy","MT","MTS1208-190"
"241","Crossroads","Cream","MT","MTS1208-974"
"242","Cruel To Be Kind","Lowe, Nick","MT","MTS1208-328"
"243","Cry Me A River","Streisand, Barbra","MT","MTS1208-921"
"244","Crying","Orbison, Roy","MT","MTS1208-787"
"245","D.I.V.O.R.C.E.","Wynette, Tammy","MT","MTS1208-1071"
"246","Daddy's Little Girl","Standard","MT","MTS1208-922"
"247","Daddy's Money","Ricochet","MT","MTS1208-542"
"248","Dance The Night Away","Van Halen","MT","MTS1208-383"
"249","Dance, The","Brooks, Garth","MT","MTS1208-348"
"250","Dancing Queen","ABBA","MT","MTS1208-894"
"251","Danny Boy","Popular Arrangement","MT","MTS1208-554"
"252","Dark Lady","Cher","MT","MTS1208-142"
"253","Day-O (Banana Boat Song)","Belafonte, Harry","MT","MTS1208-1191"
"254","Daydream Believer","Monkees, The","MT","MTS1208-1114"
"255","Days Of Wine & Roses, The","Standard","MT","MTS1208-01"
"256","Dazed And Confused","Led Zeppelin","MT","MTS1208-411"
"257","Dead Babies","Cooper, Alice","MT","MTS1208-129"
"258","Confidence Man","Jeff Healey Band, The","MT","MTS1208-402"
"259","Crystal Blue Persuasion","James, Tommy & The Shondells","MT","MTS1208-747"
"260","Daddy's Home","Shep & The Limelights","MT","MTS1208-868"
"261","Dear Me","Morgan, Lorrie","MT","MTS1208-213"
"262","December 1963 (Oh What A","Valli, Frankie","MT","MTS1208-526"
"263","Delilah","Jones, Tom","MT","MTS1208-1096"
"264","Desperado","Cooper, Alice","MT","MTS1208-120"
"265","Diamonds Are A Girls Best","Monroe, Marilyn","MT","MTS1208-909"
"266","Didn't We","Sinatra, Frank","MT","MTS1208-940"
"267","Difficult Kind, The","Crow, Sheryl","MT","MTS1208-449"
"268","Ding Dong Daddy Of The D Car","Cherry Poppin'","MT","MTS1208-92"
"269","Dirty Deeds","Jett, Joan","MT","MTS1208-478"
"270","Dirty White Boy","Foreigner","MT","MTS1208-193"
"271","Do Ya Think I'm Sexy","Stewart, Rod","MT","MTS1208-530"
"272","Do You Know What I Mean","Michaels, Lee","MT","MTS1208-808"
"273","Doctor My Eyes","Browne, Jackson","MT","MTS1208-744"
"274","Doesn't Really Matter","Jackson, Janet","MT","MTS1208-711"
"275","Don't","Presley, Elvis","MT","MTS1208-604"
"276","Don't Ask Me No Questions","Lynyrd Skynyrd","MT","MTS1208-658"
"277","Don't Be Cruel","Presley, Elvis","MT","MTS1208-1164"
"278","Don't Be Stupid (You Know I","Twain, Shania","MT","MTS1208-277"
"279","Don't Let Me Be Lonely Tonight","Taylor, James","MT","MTS1208-322"
"280","Don't Let The Sun Go Down On","John, Elton","MT","MTS1208-1061"
"281","Don't Stop","Fleetwood Mac","MT","MTS1208-481"
"282","Don't Think Twice It's Alright","Clapton, Eric","MT","MTS1208-400"
"283","Doo Wah Diddy","Manfred Mann","MT","MTS1208-1111"
"284","Doo Wap (That Thing)","Hill, Lauryn","MT","MTS1208-78"
"285","Dream A Little Dream Of Me","Elliot, 'Mama' Cass","MT","MTS1208-297"
"286","Dream On","Aerosmith","MT","MTS1208-1034"
"287","Dream Weaver","Wright, Gary","MT","MTS1208-932"
"288","Dreams","Molly Hatchet","MT","MTS1208-234"
"289","Drive","Incubus","MT","MTS1208-1004"
"290","Drops Of Jupiter","Train","MT","MTS1208-1005"
"291","Dust In The Wind","Kansas","MT","MTS1208-597"
"292","Dy'er Ma'ker","Led Zeppelin","MT","MTS1208-393"
"293","Eat It (Beat It)","Yankovic, 'Weird Al'","MT","MTS1208-346"
"294","Eight Days A Week","Beatles, The","MT","MTS1208-1113"
"295","Electric Ave","Grant, Eddie","MT","MTS1208-755"
"296","Don't Bring Me Down","Electric Light Orchestra, The","MT","MTS1208-674"
"297","Don't Do Me Like That","Petty, Tom & The Heartbreakers","MT","MTS1208-745"
"298","Don't Go Breaking My Heart","John, Elton & Kiki Dee","MT","MTS1208-1172"
"299","Dream A Little Dream Of Me","Mamas & The Papas, The","MT","MTS1208-1138"
"300","Electric Boogie","Griffiths, Marcia","MT","MTS1208-524"
"301","Elvira","Oak Ridge Boys, The","MT","MTS1208-1075"
"302","Embraceable You","Sinatra, Frank","MT","MTS1208-941"
"303","End Of The World, The","Davis, Skeeter","MT","MTS1208-1135"
"304","Eternal Flame","Bangles, The","MT","MTS1208-902"
"305","Even Now","Manilow, Barry","MT","MTS1208-888"
"306","Every Day Is A Winding Road","Crow, Sheryl","MT","MTS1208-305"
"307","Every Rose Has It's Thorn","Poison","MT","MTS1208-191"
"308","Everybody Loves Somebody","Martin, Dean","MT","MTS1208-1098"
"309","Everybody Plays The Fool","Neville, Aaron","MT","MTS1208-887"
"310","Everything About You","Ugly Kid Joe","MT","MTS1208-192"
"311","Everything Happens To Me","Standard","MT","MTS1208-27"
"312","Everything Is Everything","Hill, Lauryn","MT","MTS1208-448"
"313","Everything You Want","Vertical Horizon","MT","MTS1208-636"
"314","Ex-Factor","Hill, Lauryn","MT","MTS1208-74"
"315","Fallen","Keys, Alicia","MT","MTS1208-996"
"316","Falling In Love (Is Hard On","Aerosmith","MT","MTS1208-813"
"317","Fame","Bowie, David","MT","MTS1208-931"
"318","Fame","Cara, Irene","MT","MTS1208-1200"
"319","Family Tradition","Williams, Hank Jr.","MT","MTS1208-1078"
"320","Far Behind","Candlebox","MT","MTS1208-462"
"321","Fast Car","Chapman, Tracy","MT","MTS1208-303"
"322","Fat","Yankovic, 'Weird Al'","MT","MTS1208-332"
"323","Fat Bottomed Girls","Queen","MT","MTS1208-930"
"324","Fat Lip","Sum 41","MT","MTS1208-1000"
"325","Feed My Frankenstein","Cooper, Alice","MT","MTS1208-123"
"326","Feel Like Making Love","Gerblansky, Ned","MT","MTS1208-167"
"327","Feel Your Love Tonight","Van Halen","MT","MTS1208-45"
"328","Feelin' So Good","Lopez, Jennifer","MT","MTS1208-583"
"329","Fire And Ice","Benatar, Pat","MT","MTS1208-301"
"330","Fire Down Below","Seger, Bob","MT","MTS1208-375"
"331","Five Minutes","Morgan, Lorrie","MT","MTS1208-218"
"332","Fixing A Hole","Beatles, The","MT","MTS1208-675"
"333","Flavor Of The Weak","American Hi-Fi","MT","MTS1208-815"
"334","Flip, Flop, Fly","Turner, Joe","MT","MTS1208-870"
"335","Fly Away","Kravitz, Lenny","MT","MTS1208-155"
"336","Fly By Night / In The Mood","Rush","MT","MTS1208-372"
"337","Fly Me To The Moon","Sinatra, Frank","MT","MTS1208-491"
"338","Fly Me To The Moon (uptempo)","Sinatra, Frank","MT","MTS1208-942"
"339","Endless Love","Richie, Lionel & Diana Ross","MT","MTS1208-1059"
"340","Everyday","Dave Matthews Band, The","MT","MTS1208-1023"
"341","Flowers","Sweet Female Attitude","MT","MTS1208-724"
"342","Fly Like An Eagle","Steve Miller Band, The","MT","MTS1208-508"
"343","Follow Me","Uncle Kracker","MT","MTS1208-817"
"344","Fools Rush In","Sinatra, Frank","MT","MTS1208-943"
"345","For Once In My Life","Wonder, Stevie","MT","MTS1208-885"
"346","For The First Time","Loggins, Kenny","MT","MTS1208-886"
"347","For The Good Times","Price, Ray","MT","MTS1208-1095"
"348","For What It's Worth","Buffalo Springfield","MT","MTS1208-677"
"349","Forever And Ever Amen","Travis, Randy","MT","MTS1208-1073"
"350","Forgiven","Morissette, Alanis","MT","MTS1208-113"
"351","Free Bird","Lynyrd Skynyrd","MT","MTS1208-236"
"352","Free Ride","Winter, Edgar","MT","MTS1208-678"
"353","Friends In Low Places","Brooks, Garth","MT","MTS1208-349"
"354","From The Bottom Of My Broken","Spears, Britney","MT","MTS1208-454"
"355","From This Moment On","Twain, Shania","MT","MTS1208-251"
"356","Fun, Fun, Fun","Beach Boys, The","MT","MTS1208-1168"
"357","Garden Party","Nelson, Ricky","MT","MTS1208-780"
"358","Generation Landslide","Cooper, Alice","MT","MTS1208-118"
"359","Genie In A Bottle","Aguilera, Christina","MT","MTS1208-255"
"360","Gentle On My Mind","Campbell, Glen","MT","MTS1208-622"
"361","Georgia On My Mind","Charles, Ray","MT","MTS1208-912"
"362","Get Together","Youngbloods, The","MT","MTS1208-985"
"363","Gettin' Jiggy Wit It","Smith, Will","MT","MTS1208-85"
"364","Gimme Back My Bullets","Lynyrd Skynyrd","MT","MTS1208-654"
"365","Gimme Three Steps","Lynyrd Skynyrd","MT","MTS1208-650"
"366","Girls Just Wanna Have Fun","Lauper, Cyndi","MT","MTS1208-1198"
"367","Girls, Girls, Girls","Motley Crue","MT","MTS1208-739"
"368","Given To Fly","Pearl Jam","MT","MTS1208-730"
"369","Gloria","Branigan, Laura","MT","MTS1208-756"
"370","Go All The Way","Raspberries, The","MT","MTS1208-969"
"371","God Bless America/We Will","Standard","MT","MTS1208-848"
"372","God Bless The Child","Twain, Shania","MT","MTS1208-271"
"373","God Gave Rock'n Roll To You","Kiss","MT","MTS1208-55"
"374","God Must Have Spent A Little","N Sync","MT","MTS1208-265"
"375","God Must Have Spent A Little","Alabama","MT","MTS1208-237"
"376","Goin' Up The Country","Canned Heat","MT","MTS1208-956"
"377","Gone Crazy","Jackson, Alan","MT","MTS1208-246"
"378","Good Life, The","Bennett, Tony","MT","MTS1208-552"
"379","Good Lovin' (Makes It Right)","Wynette, Tammy","MT","MTS1208-679"
"380","Good Luck Charm","Presley, Elvis","MT","MTS1208-603"
"381","From The Beginning","Emerson, Lake & Palmer","MT","MTS1208-319"
"382","Get Down Tonight","K.C. & The Sunshine Band","MT","MTS1208-520"
"383","Give It Away","Red Hot Chili Peppers","MT","MTS1208-814"
"384","Good Morning Heartache","Standard","MT","MTS1208-12"
"385","Good Time Charlie","King, Albert","MT","MTS1208-398"
"386","Goodbye Earl","Dixie Chicks","MT","MTS1208-435"
"387","Goodbye To Romance","Osbourne, Ozzy","MT","MTS1208-199"
"388","Goodnight Sweetheart","Kersh, David","MT","MTS1208-680"
"389","Graduation (Friends Forever)","Vitamin C","MT","MTS1208-685"
"390","Grapefruit 'diet (Zoot Suit","Yankovic, 'Weird Al'","MT","MTS1208-341"
"391","Greased Lightning","Grease","MT","MTS1208-1184"
"392","Great Pretender, The","Platters, The","MT","MTS1208-859"
"393","Greatest Love Of All, The","Houston, Whitney","MT","MTS1208-1129"
"394","Greed","Godsmack","MT","MTS1208-999"
"395","Green Dolphin Street","London, Julie","MT","MTS1208-22"
"396","Green, Green Grass Of Home","Jones, Tom","MT","MTS1208-1100"
"397","Guys Do It All The Time","McCready, Mindy","MT","MTS1208-541"
"398","Gypsies, Tramps & Thieves","Cher","MT","MTS1208-141"
"399","Half-Breed","Cher","MT","MTS1208-144"
"400","Hands","Jewel","MT","MTS1208-77"
"401","Hanging By A Moment","Lifehouse","MT","MTS1208-824"
"402","Happy Together","Turtles, The","MT","MTS1208-681"
"403","Hard To Handle","Black Crowes, The","MT","MTS1208-368"
"404","Harden My Heart","Quarterflash","MT","MTS1208-472"
"405","Hardest Thing, The","98 Degrees","MT","MTS1208-257"
"406","Harmony","John, Elton","MT","MTS1208-320"
"407","Hashpipe","Weezer","MT","MTS1208-997"
